step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
71,8.677216525e-05,8.687216525e-06,0.24557934,0.149062955,17.763545803000003
72,9.545938177e-05,9.555938177e-06,0.245754242,0.149236234,18.009300045000003
73,0.00010501532,1.0511532e-05,0.246718723,0.149395844,18.256018768000004
74,0.0001155268519,1.156268519e-05,0.246575364,0.14967005,18.502594132000006
75,0.0001270895371,1.271895371e-05,0.246205944,0.14913057000000002,18.748800076000006
76,0.0001398084909,1.399084909e-05,0.24589793,0.148837416,18.994698006000007
77,0.0001537993399,1.538993399e-05,0.246594191,0.149589513,19.241292197000007
78,0.0001691892739,1.692892739e-05,0.246201393,0.149227285,19.487493590000007
79,0.0001861182013,1.862182013e-05,0.247373705,0.149864406,19.734867295000008
80,0.0002047400215,2.048400215e-05,0.246359787,0.149688488,19.981227082000007
81,0.0002252240236,2.253240236e-05,0.245834096,0.14924028,20.227061178000007
82,0.000247756426,2.47856426e-05,0.246063226,0.149602711,20.473124404000007
83,0.0002725420686,2.726420686e-05,0.246102269,0.149219146,20.71922667300001
84,0.0002998062754,2.999062754e-05,0.246708917,0.149012044,20.965935590000008
85,0.000329796903,3.29896903e-05,0.246204824,0.14915453899999997,21.212140414000007
86,0.0003627865933,3.628865933e-05,0.245850317,0.148898867,21.457990731000006
87,0.0003990752526,3.991752526e-05,0.24572444,0.148917516,21.703715171000006
88,0.0004389927778,4.390927778e-05,0.248445414,0.15169839000000002,21.952160585000005
89,0.0004829020556,4.830020556e-05,0.246191896,0.149185814,22.198352481000004
90,0.0005312022612,5.313022612e-05,0.259459005,0.16173499200000002,22.457811486000004
91,0.0005843324873,5.844324873e-05,0.246457743,0.14912961600000002,22.704269229000005
92,0.000642775736,6.42875736e-05,0.24645547,0.14955190699999998,22.950724699000006
93,0.0007070633096,7.071633096e-05,0.24664245,0.149594525,23.197367149000005
94,0.0007777796406,7.537998436e-05,0.247264983,0.14955213099999998,23.444632132000006
95,0.000853159625,7.604703945e-05,0.246238563,0.14922688099999998,23.690870695000005
96,0.0009292066644,7.679914817e-05,0.245596858,0.149034162,23.936467553000004
97,0.001006005813,7.775091235e-05,0.24570507,0.148697825,24.182172623000003
98,0.001083756725,7.890208913e-05,0.245606162,0.148581817,24.427778785000005
99,0.001162658814,8.025969101e-05,0.246031458,0.148833856,24.673810243000005
100,0.001242918505,8.1834188e-05,0.245917178,0.148860653,24.919727421000005
101,0.001324752693,8.28492148e-05,0.245735285,0.148646854,25.165462706000003
102,0.001407601908,8.318931076e-05,0.245999766,0.148828977,25.411462472000004
103,0.001490791219,8.354673578e-05,0.247764961,0.149334481,25.659227433000005
104,0.001574337954,8.392341834e-05,0.246919019,0.149177777,25.906146452000005
105,0.001658261373,8.432214901e-05,0.245777543,0.148983744,26.151923995000004
106,0.001742583522,8.47449454e-05,0.245860387,0.14864999499999998,26.397784382000005
107,0.001827328467,8.519476913e-05,0.246999752,0.14892750100000002,26.644784134000005
108,0.001912523236,8.567360801e-05,0.246167843,0.148410715,26.890951977000004
109,0.001998196844,8.618612874e-05,0.266712096,0.169522482,27.157664073000003
110,0.002084382973,8.674244643e-05,0.246342192,0.1490976,27.404006265000003
111,0.002171125419,8.73662391e-05,0.245906817,0.149047801,27.649913082000005
112,0.002258491659,8.812817587e-05,0.245806776,0.148712159,27.895719858000003
113,0.002346619834,8.903386767e-05,0.245703972,0.148809213,28.141423830000004
114,0.002435653702,9.009210072e-05,0.245068686,0.14805558800000002,28.386492516000004
115,0.002525745803,9.059246971e-05,0.245751079,0.148060653,28.632243595000006
116,0.002616338273,9.09352493e-05,0.246224397,0.148716071,28.878467992000004
117,0.002707273522,9.129304343e-05,0.251081325,0.15412527599999998,29.129549317000006
118,0.002798566565,9.166669362e-05,0.245767926,0.148722132,29.375317243000005
119,0.002890233259,9.205696321e-05,0.245618746,0.14889943,29.620935989000007
120,0.002982290222,9.246447518e-05,0.246233186,0.14858385400000002,29.867169175000008
121,0.003074754697,9.288993055e-05,0.246201554,0.14927807599999998,30.113370729000007
122,0.003167644628,9.333493241e-05,0.245566121,0.148387216,30.358936850000006
123,0.00326097956,9.379988795e-05,0.245717493,0.148051253,30.604654343000007
124,0.003354779448,9.428583295e-05,0.245492744,0.148745818,30.850147087000007
125,0.003449065281,9.479873118e-05,0.245964296,0.148448198,31.096111383000007
126,0.003543864012,9.534891329e-05,0.246314708,0.14891058899999998,31.342426091000007
127,0.003639212926,9.598672316e-05,0.249437223,0.15245239500000002,31.59186331400001
128,0.003735199649,9.674521216e-05,0.245993683,0.148834285,31.837856997000006
129,0.003831944861,9.723193016e-05,0.30948266,0.150618242,32.147339657
130,0.003929176791,9.756204003e-05,0.246535545,0.149025432,32.393875202000004
131,0.004026738831,9.79005499e-05,0.245967541,0.149107681,32.639842743
132,0.004124639381,9.824855843e-05,0.245538943,0.148278911,32.885381686
133,0.004222887939,9.860690621e-05,0.264424349,0.148570539,33.149806035000005
134,0.004321494846,9.897581849e-05,0.246179474,0.148527685,33.395985509000006
135,0.004420470664,9.935770917e-05,0.262301026,0.148952433,33.65828653500001
136,0.004519828373,9.975433055e-05,0.247356054,0.15081128300000002,33.90564258900001
137,0.004619582704,0.0001001669528,0.246372475,0.149329553,34.15201506400001
138,0.004719749657,0.0001005968482,0.245997574,0.14907390199999998,34.39801263800001
139,0.004820346505,8.982674757e-05,0.249385259,0.152126292,34.64739789700001
140,0.004910173252,8.982674757e-05,0.245967408,0.14875514099999998,34.89336530500001
141,0.005,9.880942233e-05,0.246317698,0.14911923900000001,35.13968300300001
142,0.005098809422,0.0001024574814,0.247924121,0.14889458900000002,35.387607124000006
143,0.005201266904,0.0001029090638,0.24616905,0.14841572,35.633776174000005
144,0.005304175968,0.0001032118802,0.245501811,0.148088873,35.879277985
145,0.005407387848,0.0001035203014,0.246157162,0.148644362,36.125435147000005
146,0.005510908149,0.00010383552,0.247843609,0.149098277,36.373278756000005
147,0.005614743669,0.0001041586277,0.245871802,0.148925169,36.61915055800001
148,0.005718902297,0.0001044893731,0.245587456,0.14900112199999999,36.86473801400001
149,0.00582339167,0.0001048307684,0.245974323,0.149019087,37.11071233700001
150,0.005928222438,0.0001051843165,0.246265992,0.148980137,37.35697832900001
151,0.006033406755,0.0001055513202,0.245610541,0.148399098,37.602588870000005
152,0.006138958075,0.0001059335593,0.245708063,0.14849072400000002,37.84829693300001
153,0.006244891634,0.000106332852,0.245558404,0.148748665,38.09385533700001
154,0.006351224486,0.0001067510729,0.245577359,0.148794105,38.33943269600001
155,0.006457975559,0.0001071967603,0.245658372,0.148940353,38.58509106800001
156,0.00656517232,0.0001076841662,0.245346468,0.148408184,38.83043753600001
157,0.006672856486,0.0001079613826,0.246243594,0.148942778,39.07668113000001
158,0.006780817869,0.0001082422622,0.245859386,0.149285557,39.32254051600001
159,0.006889060131,0.0001085279824,0.24583823,0.148812571,39.56837874600001
160,0.006997588113,0.0001088196073,0.248227381,0.151073185,39.81660612700001
161,0.00710640772,0.000109117104,0.245614036,0.14842667199999998,40.062220163000006
162,0.007215524825,0.0001094226618,0.245637255,0.148350675,40.307857418000005
163,0.007324947486,0.0001097379112,0.245440824,0.148304524,40.553298242000004
164,0.007434685398,0.0001100642997,0.245415708,0.148469172,40.79871395000001
165,0.007544749697,0.000110403535,0.245957556,0.148978366,41.04467150600001
166,0.007655153232,0.0001107573996,0.245415173,0.148829561,41.290086679000005
167,0.007765910632,0.0001111277398,0.245520998,0.148762508,41.53560767700001
168,0.007877038372,0.0001115164724,0.245145262,0.148577151,41.78075293900001
169,0.007988554844,0.0001119325825,0.245776395,0.14898797600000002,42.02652933400001
170,0.008100487427,0.0001122205322,0.249528614,0.152498694,42.27605794800001
171,0.008212707959,0.0001124798983,0.245540247,0.14817920299999998,42.52159819500001
172,0.008325187857,0.000112742681,0.249494007,0.150655536,42.77109220200001
173,0.008437930538,0.0001130098849,0.249740199,0.15101798900000002,43.020832401000014
174,0.008550940423,0.0001132810242,0.247178693,0.14929990199999998,43.268011094000016
175,0.008664221447,0.0001135589227,0.248918552,0.150445893,43.516929646000015
176,0.00877778037,0.0001138447474,0.247004158,0.149005273,43.76393380400002
177,0.008891625117,0.0001141400678,0.248559097,0.149838384,44.012492901000016
178,0.009005765185,0.000114446543,0.250866476,0.152055726,44.263359377000015
179,0.009120211728,0.000114765955,0.249249866,0.150913183,44.512609243000014
180,0.009234977683,0.0001151001228,0.24590556,0.148321584,44.75851480300001
181,0.009350077806,0.0001154508895,0.245534327,0.148722154,45.00404913000001
182,0.009465528695,0.000115822948,0.245424976,0.14884138200000002,45.249474106000015
183,0.009581351643,0.0001160807085,0.258036106,0.161147936,45.507510212000014
184,0.009697432352,0.0001163201841,0.245960473,0.148714422,45.75347068500001
185,0.009813752536,9.3123732e-05,0.245784301,0.1487311,45.99925498600001
186,0.009906876268,9.3123732e-05,0.245563135,0.14910832699999998,46.24481812100001
187,0.01,0.0001024361052,0.245668225,0.148873846,46.49048634600001
188,0.01010243611,0.0001126797157,0.250491418,0.152293417,46.740977764000014
189,0.01021511582,0.0001174179801,0.249375064,0.150246942,46.99035282800001
190,0.0103325338,0.0001176830527,0.24806664,0.14916248599999998,47.23841946800001
191,0.01045021685,0.0001179573935,0.248562567,0.15011803,47.48698203500001
192,0.01056817425,0.0001182426628,0.247116625,0.149095806,47.73409866000001
193,0.01068641691,0.0001185405582,0.250974747,0.151343898,47.98507340700001
194,0.01080495747,0.0001188527572,0.251694745,0.152487736,48.23676815200001
195,0.01092381023,0.0001191811877,0.245678312,0.148342123,48.48244646400001
196,0.01104299141,0.0001194619771,0.245583716,0.148467614,48.72803018000001
197,0.01116245339,0.0001196822856,0.261029287,0.161692129,48.98905946700001
198,0.01128213568,0.0001199045887,0.245162252,0.148334815,49.23422171900001
199,0.01140204026,0.0001201295143,0.258638752,0.161763585,49.492860471000014
200,0.01152216978,0.0001203565212,0.245910217,0.148981319,49.73877068800002
201,0.0116425263,0.0001205879659,0.245572006,0.148796806,49.98434269400002
202,0.01176311427,0.0001208251135,0.245227668,0.14838936,50.22957036200002
203,0.01188393938,0.0001210693692,0.245288511,0.148602248,50.47485887300002
204,0.01200500875,0.0001213222899,0.245415398,0.148767863,50.720274271000015
205,0.01212633104,0.0001215855106,0.24538284,0.148646692,50.96565711100001
206,0.01224791655,0.0001218606131,0.245646088,0.149167254,51.211303199000014
207,0.01236977716,0.000122149229,0.245346685,0.148544276,51.456649884000015
208,0.01249192639,0.0001224532994,0.246039681,0.148858492,51.702689565000014
209,0.01261437969,0.0001226689804,0.245333434,0.14808395,51.94802299900002
210,0.01273704867,0.0001228720401,0.246497774,0.149216481,52.194520773000015
211,0.01285992071,0.0001230768966,0.245228363,0.148706485,52.43974913600002
212,0.01298299761,0.0001232829199,0.245846431,0.149186955,52.685595567000014
213,0.01310628053,0.0001234921466,0.245256173,0.14875068600000002,52.930851740000016
214,0.01322977267,0.000123705587,0.245875376,0.149352338,53.176727116000016
215,0.01335347826,0.0001239245503,0.245282202,0.148721149,53.422009318000015
216,0.01347740281,0.00012415041,0.245168615,0.148517226,53.66717793300001
217,0.01360155322,0.0001243847559,0.245612913,0.148359272,53.912790846000014
218,0.01372593798,0.000124629055,0.244998493,0.148224709,54.15778933900001
219,0.01385056703,0.0001248848458,0.245144446,0.148802398,54.40293378500001
220,0.01397545188,0.0001251536807,0.24548134,0.14873824400000002,54.64841512500001
221,0.01410060556,0.0001254007147,0.245394493,0.14890250500000002,54.893809618000006
222,0.01422600627,0.0001255830282,0.246020411,0.148081682,55.13983002900001
223,0.0143515893,0.0001257696618,0.245215521,0.148266862,55.38504555000001
224,0.01447735896,0.0001259571278,0.244791789,0.14818352299999998,55.629837339000005
225,0.01460331609,0.0001261467145,0.245446275,0.148076447,55.875283614000004
226,0.01472946281,0.0001263394016,0.245121535,0.148050939,56.12040514900001
227,0.01485580221,7.209889616e-05,0.245656112,0.14902991399999999,56.366061261000006
228,0.0149279011,7.209889616e-05,0.24583855,0.149513064,56.61189981100001
229,0.015,7.930878577e-05,0.246130249,0.14913803,56.858030060000004
230,0.01507930879,8.723966435e-05,0.246271662,0.149042364,57.104301722
231,0.01516654845,9.596363078e-05,0.24772266,0.15063969,57.352024382
232,0.01526251208,0.0001055599939,0.24543506,0.14850819199999998,57.597459442
233,0.01536807207,0.0001161159932,0.245303209,0.148377593,57.842762651
234,0.01548418807,0.0001275962809,0.244794664,0.148349721,58.087557315
