step,sim_time,dt,advance_wall_time,reaction_wall_time,cumulative_wall_time
0,0.0,1e-08,1.24980908,0.914249488,1.24980908
1,1e-08,1.1e-08,0.969649922,0.6860594369999999,2.219459002
2,2.1e-08,1.21e-08,0.997699534,0.712389785,3.217158536
3,3.31e-08,1.331e-08,0.996457887,0.713393854,4.2136164229999995
4,4.641e-08,1.4641e-08,0.999707511,0.716422198,5.213323934
5,6.1051e-08,1.61051e-08,1.009564504,0.719542745,6.222888438
6,7.71561e-08,1.771561e-08,1.002635019,0.718715142,7.2255234569999995
7,9.487171e-08,1.9487171e-08,1.006011162,0.723524261,8.231534619
8,1.14358881e-07,2.14358881e-08,1.006712048,0.723612549,9.238246667
9,1.357947691e-07,2.357947691e-08,1.011082032,0.725084165,10.249328699
10,1.59374246e-07,2.59374246e-08,0.987993812,0.703717383,11.237322510999999
11,1.853116706e-07,2.853116706e-08,0.986352212,0.7030661119999999,12.223674722999998
12,2.138428377e-07,3.138428377e-08,0.988755417,0.705530785,13.212430139999999
13,2.452271214e-07,3.452271214e-08,0.991311897,0.707631966,14.203742036999998
14,2.797498336e-07,3.797498336e-08,0.992755109,0.709511409,15.196497145999999
15,3.177248169e-07,4.177248169e-08,0.998779162,0.711705239,16.195276308
16,3.594972986e-07,4.594972986e-08,0.998531503,0.713328134,17.193807811
17,4.054470285e-07,5.054470285e-08,0.99148014,0.707256291,18.185287951
18,4.559917313e-07,5.559917313e-08,0.987555431,0.70498183,19.172843382
19,5.115909045e-07,6.115909045e-08,0.996187279,0.713636943,20.169030661
20,5.727499949e-07,6.727499949e-08,0.957420955,0.673601976,21.126451616
21,6.400249944e-07,7.400249944e-08,0.956626924,0.672555692,22.083078540000002
22,7.140274939e-07,8.140274939e-08,0.953329422,0.670616004,23.036407962000002
23,7.954302433e-07,8.954302433e-08,0.966231317,0.677570455,24.002639279
24,8.849732676e-07,9.849732676e-08,0.959003176,0.673830044,24.961642455
25,9.834705943e-07,1.083470594e-07,0.961856655,0.676251852,25.923499109999998
26,1.091817654e-06,1.191817654e-07,0.965040188,0.678706514,26.888539297999998
27,1.210999419e-06,1.310999419e-07,0.972723946,0.685189758,27.861263243999996
28,1.342099361e-06,1.442099361e-07,0.972938715,0.686671499,28.834201958999998
29,1.486309297e-06,1.586309297e-07,0.976321809,0.691163647,29.810523768
30,1.644940227e-06,1.744940227e-07,0.958230247,0.672229251,30.768754015
31,1.81943425e-06,1.91943425e-07,0.965024396,0.678923382,31.733778411
32,2.011377675e-06,2.111377675e-07,0.977329023,0.691283444,32.711107434
33,2.222515442e-06,2.322515442e-07,0.988872399,0.700348258,33.699979833
34,2.454766986e-06,2.554766986e-07,0.989555106,0.7035283299999999,34.689534939
35,2.710243685e-06,2.810243685e-07,0.993486199,0.707159179,35.683021138
36,2.991268053e-06,3.091268053e-07,0.998169262,0.713176738,36.6811904
37,3.300394859e-06,3.400394859e-07,1.007549847,0.720937476,37.688740247
38,3.640434344e-06,3.740434344e-07,1.012793458,0.725518732,38.701533704999996
39,4.014477779e-06,4.114477779e-07,1.016753245,0.731085526,39.71828694999999
40,4.425925557e-06,4.525925557e-07,1.005435104,0.7079447649999999,40.72372205399999
41,4.878518112e-06,4.978518112e-07,1.008090118,0.710772358,41.73181217199999
42,5.376369924e-06,5.476369924e-07,1.016236477,0.71771736,42.74804864899999
43,5.924006916e-06,6.024006916e-07,1.021738512,0.723455661,43.76978716099999
44,6.526407608e-06,6.626407608e-07,1.024377181,0.725659753,44.79416434199999
45,7.189048369e-06,7.289048369e-07,1.029287072,0.7289642940000001,45.82345141399999
46,7.917953205e-06,8.017953205e-07,1.040985013,0.733575011,46.86443642699999
47,8.719748526e-06,8.819748526e-07,1.043177487,0.736156941,47.90761391399999
48,9.601723378e-06,9.701723378e-07,1.047401274,0.7414714419999999,48.95501518799999
49,1.057189572e-05,1.067189572e-06,1.050644829,0.744813586,50.00566001699999
50,1.163908529e-05,1.173908529e-06,0.993028582,0.687448914,50.99868859899999
51,1.281299382e-05,1.291299382e-06,0.997822967,0.691301732,51.99651156599999
52,1.41042932e-05,1.42042932e-06,0.999892561,0.6933295509999999,52.99640412699999
53,1.552472252e-05,1.562472252e-06,1.002079449,0.6944741249999999,53.99848357599999
54,1.708719477e-05,1.718719477e-06,1.004506356,0.6981176499999999,55.00298993199999
55,1.880591425e-05,1.890591425e-06,1.011631167,0.703868089,56.01462109899999
56,2.069650567e-05,2.079650567e-06,1.01845695,0.711325888,57.03307804899999
57,2.277615624e-05,2.287615624e-06,1.027497849,0.719563061,58.06057589799999
58,2.506377186e-05,2.516377186e-06,1.033631115,0.72753315,59.09420701299999
59,2.758014905e-05,2.768014905e-06,1.047341509,0.7386864559999999,60.14154852199999
60,3.034816395e-05,3.044816395e-06,0.986883735,0.680167564,61.128432256999986
61,3.339298035e-05,3.349298035e-06,1.006412253,0.69553629,62.134844509999986
62,3.674227838e-05,3.684227838e-06,1.01084617,0.699869565,63.14569067999999
63,4.042650622e-05,4.052650622e-06,1.019499538,0.710616755,64.16519021799999
64,4.447915685e-05,4.457915685e-06,1.030251715,0.721580404,65.195441933
65,4.893707253e-05,4.903707253e-06,0.926457497,0.610803237,66.12189943
66,5.384077978e-05,5.394077978e-06,0.931033687,0.617286295,67.052933117
67,5.923485776e-05,5.933485776e-06,0.937548421,0.624817323,67.990481538
68,6.516834354e-05,6.526834354e-06,0.947018869,0.6342927819999999,68.937500407
69,7.169517789e-05,7.179517789e-06,0.955192522,0.642511645,69.892692929
70,7.887469568e-05,7.897469568e-06,0.924436995,0.610559996,70.817129924
71,8.677216525e-05,8.687216525e-06,0.936990379,0.6225794899999999,71.754120303
72,9.545938177e-05,9.555938177e-06,0.947148035,0.633130765,72.70126833799999
73,0.00010501532,1.0511532e-05,0.959654773,0.644708389,73.66092311099999
74,0.0001155268519,1.156268519e-05,0.974495665,0.660185266,74.635418776
75,0.0001270895371,1.271895371e-05,0.996602672,0.67610963,75.63202144799999
76,0.0001398084909,1.399084909e-05,1.016828864,0.6936567650000001,76.648850312
77,0.0001537993399,1.538993399e-05,1.048516918,0.727041786,77.69736723
78,0.0001691892739,1.692892739e-05,1.07729949,0.751801275,78.77466672
79,0.0001861182013,1.862182013e-05,1.11451445,0.789115096,79.88918117
80,0.0002047400215,2.048400215e-05,0.989608955,0.6641359769999999,80.878790125
81,0.0002252240236,2.253240236e-05,1.034640644,0.705177578,81.913430769
82,0.000247756426,2.47856426e-05,1.105081493,0.76450003,83.018512262
83,0.0002725420686,1.771612833e-05,1.096333241,0.759358373,84.114845503
84,0.0002902581969,1.631455609e-05,1.107527188,0.777605396,85.222372691
85,0.000306572753,1.79460117e-05,1.144284498,0.814580072,86.36665718900001
86,0.0003245187647,1.20478292e-05,1.110090799,0.785822934,87.47674798800001
87,0.0003365665939,1.325261212e-05,1.111928325,0.786754441,88.58867631300001
88,0.000349819206,1.405787877e-05,1.121103521,0.796029237,89.709779834
89,0.0003638770848,1.546366665e-05,1.144684892,0.818724287,90.854464726
90,0.0003793407514,1.235723472e-05,0.978186059,0.6481985619999999,91.832650785
91,0.0003916979862,1.359295819e-05,0.968379167,0.646145475,92.801029952
92,0.0004052909444,1.412958003e-05,0.967953558,0.645139449,93.76898351
93,0.0004194205244,1.554253804e-05,0.97764272,0.651492505,94.74662623
94,0.0004349630624,1.558337345e-05,0.977891807,0.650964984,95.72451803700001
95,0.0004505464359,1.71417108e-05,0.983005078,0.655497187,96.70752311500001
96,0.0004676881467,1.590894673e-05,0.978941122,0.6522837850000001,97.68646423700001
97,0.0004835970934,8.201453297e-06,0.933089592,0.616351353,98.61955382900001
98,0.0004917985467,8.201453297e-06,0.918878044,0.603319921,99.53843187300001
99,0.0005,9.021598627e-06,0.93218039,0.608647859,100.470612263
100,0.0005090215986,9.92375849e-06,0.937280435,0.614412403,101.40789269800001
101,0.0005189453571,1.091613434e-05,0.937664987,0.615210135,102.34555768500002
102,0.0005298614915,1.200774777e-05,0.942895243,0.61965892,103.28845292800001
103,0.0005418692392,1.320852255e-05,0.948480823,0.623398042,104.23693375100001
104,0.0005550777618,1.45293748e-05,0.957157633,0.630503958,105.194091384
105,0.0005696071366,1.598231229e-05,0.962015287,0.636629698,106.156106671
106,0.0005855894489,1.758054351e-05,0.969611279,0.642357875,107.12571795000001
107,0.0006031699924,1.933859787e-05,0.980261135,0.645554414,108.10597908500002
108,0.0006225085902,1.93200384e-05,0.974011804,0.646676479,109.07999088900002
109,0.0006418286286,2.125204224e-05,0.977334117,0.650549622,110.05732500600001
110,0.0006630806709,2.337724646e-05,0.960687181,0.6246344,111.01801218700001
111,0.0006864579173,1.776357023e-05,0.943313947,0.614976761,111.96132613400002
112,0.0007042214876,1.953992725e-05,0.942151611,0.614892142,112.90347774500002
113,0.0007237614148,1.814566716e-05,0.943533392,0.615834801,113.84701113700002
114,0.000741907082,1.796214294e-05,0.935885885,0.609591695,114.78289702200003
115,0.0007598692249,1.975835723e-05,1.072097005,0.740056021,115.85499402700003
116,0.0007796275822,2.173419295e-05,0.993868081,0.6713129280000001,116.84886210800003
117,0.0008013617751,2.390761225e-05,1.009366933,0.677859631,117.85822904100003
118,0.0008252693874,2.246882795e-05,1.006808058,0.678662341,118.86503709900003
119,0.0008477382153,2.471571074e-05,1.023722214,0.689635894,119.88875931300004
120,0.000872453926,2.516238827e-05,0.993178904,0.6710535950000001,120.88193821700004
121,0.0008976163143,2.76786271e-05,0.985022676,0.667815045,121.86696089300004
122,0.0009252949414,3.044648981e-05,0.988429727,0.668034598,122.85539062000004
123,0.0009557414312,2.212928438e-05,0.966743613,0.645683676,123.82213423300004
124,0.0009778707156,1.106464219e-05,0.909883913,0.6024845990000001,124.73201814600004
125,0.0009889353578,1.106464219e-05,0.996431543,0.682770536,125.72844968900004
126,0.001,1.217110641e-05,1.008182655,0.6931722730000001,126.73663234400004
127,0.001012171106,1.338821705e-05,1.011446654,0.698510459,127.74807899800004
128,0.001025559323,1.472703876e-05,1.016931211,0.704264547,128.76501020900005
129,0.001040286362,1.619974263e-05,1.020221264,0.706451119,129.78523147300007
130,0.001056486105,1.78197169e-05,1.012663043,0.69128353,130.79789451600007
131,0.001074305822,1.960168859e-05,1.028139641,0.702233184,131.82603415700007
132,0.00109390751,2.156185744e-05,1.030412471,0.708922301,132.85644662800007
133,0.001115469368,2.371804319e-05,1.040414714,0.7179715980000001,133.89686134200008
134,0.001139187411,2.608984751e-05,1.047780285,0.7267960259999999,134.94464162700007
135,0.001165277258,2.80056582e-05,1.07017824,0.735353284,136.01481986700006
136,0.001193282917,3.080622402e-05,1.078036957,0.747748293,137.09285682400005
137,0.001224089141,3.388684642e-05,1.085526652,0.753019777,138.17838347600005
138,0.001257975987,3.727553107e-05,1.096208586,0.758081446,139.27459206200004
139,0.001295251518,4.100308417e-05,1.104744351,0.767234449,140.37933641300003
140,0.001336254602,4.510339259e-05,0.996940409,0.680602666,141.37627682200002
141,0.001381357995,2.528935074e-05,0.954567691,0.65204928,142.33084451300002
142,0.001406647346,2.51100638e-05,0.947928715,0.644383361,143.278773228
143,0.001431757409,2.493911552e-05,0.942343005,0.638637495,144.221116233
144,0.001456696525,2.16517375e-05,0.928847268,0.626876676,145.149963501
145,0.001478348263,2.16517375e-05,0.93715871,0.609379235,146.087122211
146,0.0015,2.381691125e-05,0.944239299,0.612714778,147.03136151
147,0.001523816911,2.619860237e-05,0.94179037,0.61667855,147.97315188000002
148,0.001550015514,2.881846261e-05,0.95350495,0.6215733750000001,148.92665683
149,0.001578833976,3.170030887e-05,0.959028698,0.6254905390000001,149.885685528
150,0.001610534285,3.42434125e-05,0.900266541,0.587630286,150.78595206900002
151,0.001644777698,3.766775375e-05,0.896071749,0.587686717,151.682023818
152,0.001682445451,4.143452912e-05,0.917038947,0.597362326,152.599062765
153,0.00172387998,4.557798203e-05,0.942194459,0.6208534109999999,153.54125722400002
154,0.001769457963,2.876590832e-05,0.913836162,0.605832291,154.45509338600002
155,0.001798223871,3.110197579e-05,1.024020127,0.734797689,155.47911351300002
156,0.001829325847,2.31999822e-05,0.878462553,0.596081451,156.357576066
157,0.001852525829,1.982980342e-05,0.879588989,0.596160908,157.23716505500002
158,0.001872355632,1.529662245e-05,0.873834801,0.593186003,158.110999856
159,0.001887652255,1.260209915e-05,0.874598427,0.593109764,158.985598283
160,0.001900254354,1.054023463e-05,0.827179566,0.545023808,159.812777849
161,0.001910794588,9.619072296e-06,0.827470377,0.5539732079999999,160.640248226
162,0.001920413661,9.361995092e-06,0.834722731,0.5598045629999999,161.474970957
163,0.001929775656,9.340617827e-06,0.845094332,0.566302327,162.320065289
164,0.001939116274,9.368822661e-06,0.851352807,0.577283247,163.17141809600002
165,0.001948485096,9.576730439e-06,0.856928035,0.586412183,164.02834613100003
166,0.001958061827,9.979629558e-06,0.862739257,0.596552243,164.89108538800002
167,0.001968041456,1.038328254e-05,0.869852614,0.602466155,165.76093800200002
168,0.001978424739,1.068270028e-05,0.874446465,0.607280922,166.63538446700002
169,0.001989107439,1.089256083e-05,0.877422386,0.610085581,167.51280685300003
170,0.002,1.134013883e-05,0.917665806,0.634129779,168.43047265900003
171,0.002011340139,1.145001761e-05,0.872154054,0.5929531,169.30262671300002
172,0.002022790156,1.142869628e-05,0.867499002,0.59280743,170.170125715
173,0.002034218853,1.152298898e-05,0.874857858,0.597313822,171.04498357300002
174,0.002045741842,1.15009887e-05,0.877132657,0.5985983619999999,171.92211623000003
175,0.00205724283,1.128881712e-05,0.904032236,0.627990747,172.82614846600003
176,0.002068531648,1.100351703e-05,0.900013704,0.62742459,173.72616217000004
177,0.002079535165,1.079013655e-05,0.897628433,0.6288996609999999,174.62379060300003
178,0.002090325301,1.055284701e-05,0.903033606,0.631151822,175.52682420900004
179,0.002100878148,1.009914494e-05,0.9036691,0.6319726649999999,176.43049330900004
180,0.002110977293,9.54618e-06,0.882984036,0.610911208,177.31347734500005
181,0.002120523473,9.009133294e-06,0.882059831,0.6124765050000001,178.19553717600004
182,0.002129532606,8.44869212e-06,0.881861406,0.6120831760000001,179.07739858200006
183,0.002137981298,7.834063234e-06,0.88681253,0.614232868,179.96421111200004
184,0.002145815362,7.177448411e-06,0.889087394,0.617697622,180.85329850600004
185,0.00215299281,6.484869555e-06,0.943008423,0.660934983,181.79630692900005
186,0.00215947768,5.589473263e-06,0.932991084,0.6563478620000001,182.72929801300006
187,0.002165067153,3.466946824e-06,0.896877791,0.628168281,183.62617580400007
188,0.0021685341,3.787954998e-06,0.925418096,0.656141027,184.55159390000006
189,0.002172322055,2.758349025e-06,0.910741229,0.646466286,185.46233512900005
190,0.002175080404,1.600794281e-06,0.811936288,0.55244682,186.27427141700005
191,0.002176681198,1.626730762e-06,0.821340261,0.560076807,187.09561167800004
192,0.002178307929,1.210897133e-06,0.797527011,0.538704172,187.89313868900004
193,0.002179518826,1.331986846e-06,0.796698574,0.539021663,188.68983726300004
194,0.002180850813,1.465185531e-06,0.797124913,0.5386870420000001,189.48696217600005
195,0.002182315998,1.611704084e-06,0.820810189,0.558956625,190.30777236500006
196,0.002183927702,1.03963386e-06,0.802566222,0.54299034,191.11033858700006
197,0.002184967336,1.143597246e-06,0.810114035,0.552046338,191.92045262200006
198,0.002186110934,8.679310884e-07,0.795670014,0.53798245,192.71612263600005
199,0.002186978865,9.547241972e-07,0.804831659,0.5430884659999999,193.52095429500005
200,0.002187933589,1.050196617e-06,0.7987934,0.538198201,194.31974769500005
201,0.002188983785,1.155216279e-06,0.797227869,0.5392101380000001,195.11697556400006
202,0.002190139002,1.270737907e-06,0.804787958,0.543778301,195.92176352200005
203,0.00219140974,1.397811697e-06,0.820724021,0.5609420359999999,196.74248754300004
204,0.002192807551,1.294599376e-06,0.822542701,0.561827163,197.56503024400004
205,0.002194102151,9.860045493e-07,0.834223073,0.557194551,198.39925331700005
206,0.002195088155,9.753065919e-07,0.827993443,0.555504099,199.22724676000004
207,0.002196063462,1.072837251e-06,0.839831145,0.567926913,200.06707790500005
208,0.002197136299,1.116696515e-06,0.835401547,0.562088897,200.90247945200005
209,0.002198252996,1.228366166e-06,0.844123394,0.571875197,201.74660284600006
210,0.002199481362,1.24433141e-06,0.842058228,0.570647381,202.58866107400007
211,0.002200725693,1.342392211e-06,0.845257093,0.5741138,203.43391816700006
212,0.002202068085,1.476631432e-06,0.850279025,0.578195935,204.28419719200005
213,0.002203544717,1.624294575e-06,0.863906074,0.5884340779999999,205.14810326600005
214,0.002205169011,1.386930485e-06,0.867841253,0.591976997,206.01594451900004
215,0.002206555942,1.240921469e-06,0.858033249,0.585444562,206.87397776800003
216,0.002207796863,1.365013616e-06,0.85862536,0.5867056150000001,207.73260312800002
217,0.002209161877,1.501514977e-06,0.86410871,0.5919631160000001,208.59671183800003
218,0.002210663392,1.084780414e-06,0.840639833,0.569492723,209.43735167100004
219,0.002211748172,1.193258455e-06,0.834264248,0.5624937999999999,210.27161591900006
220,0.002212941431,1.3125843e-06,0.850828657,0.566250773,211.12244457600005
221,0.002214254015,1.443842731e-06,0.85087863,0.571412026,211.97332320600006
222,0.002215697858,1.403332961e-06,0.852685722,0.574139931,212.82600892800005
223,0.002217101191,1.307391576e-06,0.850948737,0.571424604,213.67695766500006
224,0.002218408582,1.438130734e-06,0.851761917,0.5718086849999999,214.52871958200006
225,0.002219846713,1.411462648e-06,0.85247265,0.5720389079999999,215.38119223200007
226,0.002221258176,1.552608913e-06,0.85940645,0.578219187,216.24059868200007
227,0.002222810785,1.681525856e-06,0.875991057,0.593176857,217.11658973900006
228,0.002224492311,1.48926375e-06,0.871768301,0.589010187,217.98835804000007
229,0.002225981574,1.548639821e-06,0.864191517,0.581955401,218.85254955700006
230,0.002227530214,1.547277776e-06,0.849797439,0.569233914,219.70234699600007
231,0.002229077492,1.702005554e-06,0.85585234,0.57298382,220.5581993360001
232,0.002230779497,1.741341085e-06,0.858230055,0.578055021,221.4164293910001
233,0.002232520839,1.44529537e-06,0.84983005,0.569725402,222.2662594410001
234,0.002233966134,1.589824907e-06,0.842283367,0.561058948,223.1085428080001
235,0.002235555959,1.748807397e-06,0.851182817,0.567953624,223.9597256250001
236,0.002237304766,1.923688137e-06,0.863212979,0.580387073,224.8229386040001
237,0.002239228454,1.362057338e-06,0.839711033,0.560476864,225.66264963700007
238,0.002240590512,1.498263072e-06,0.849177832,0.566819437,226.51182746900008
239,0.002242088775,1.648089379e-06,0.851662901,0.571275531,227.36349037000008
240,0.002243736864,1.812898317e-06,0.853876799,0.5727982359999999,228.21736716900008
